id,node,capacity (MW),offer ($/MW),type
A3730_7,North,2.599999999999998,113.24,flexible
A3731_0,North,13.0,98.05,flexible
A3731_1,North,2.6,99.92,flexible
A3731_2,North,2.6,101.79,flexible
A3731_3,North,2.6999999999999997,103.66,flexible
A3731_4,North,2.6000000000000014,105.53,flexible
A3731_5,North,2.6000000000000014,107.4,flexible
A3731_6,North,2.6999999999999997,109.27,flexible
A3731_7,North,2.599999999999998,111.14,flexible
A3736_0,Central,50.0,43.05,flexible
A3736_1,Central,8.0,43.27,flexible
A3736_2,Central,7.0,43.48,flexible
A3736_3,Central,8.0,43.7,flexible
A3736_4,Central,7.0,43.91,flexible
A3738_0,Central,50.0,43.05,flexible
A3738_1,Central,8.0,43.27,flexible
A3738_2,Central,7.0,43.48,flexible
A3738_3,Central,8.0,43.7,flexible
A3738_4,Central,7.0,43.91,flexible
A3739_0,Central,50.0,43.05,flexible
A3739_1,Central,8.0,43.27,flexible
A3739_2,Central,7.0,43.48,flexible
A3739_3,Central,8.0,43.7,flexible
A3739_4,Central,7.0,43.91,flexible
A3740_0,Central,50.0,43.05,flexible
A3740_1,Central,8.0,43.27,flexible
A3740_2,Central,7.0,43.48,flexible
A3740_3,Central,8.0,43.7,flexible
A3740_4,Central,7.0,43.91,flexible
A3754_0,North,8.0,30.15,inflexible
A3754_1,North,4.0,31.0,inflexible
A3754_2,North,4.0,31.05,inflexible
A3754_3,North,4.0,31.1,inflexible
A3754_4,North,5.0,31.2,inflexible
A3755_0,North,10.0,30.0,inflexible
A3755_1,North,2.0,30.05,inflexible
A3755_2,North,7.0,30.1,inflexible
A3755_3,North,4.0,30.15,inflexible
A3755_4,North,4.0,30.2,inflexible
A3755_5,North,4.0,30.25,inflexible
A3755_6,North,4.0,30.3,inflexible
A3755_7,North,4.0,30.35,inflexible
A3756_0,North,8.0,43.0,flexible
A3756_1,North,4.0,43.05,flexible
A3756_2,North,3.0,43.1,flexible
A3756_3,North,3.0,43.15,flexible
A3756_4,North,2.0,43.2,flexible
A3757_0,North,50.0,48.0,flexible
A3757_1,North,10.0,48.05,flexible
A3757_2,North,10.0,48.1,flexible
A3758_0,North,23.0,23.9,inflexible
A3758_1,North,1.0,23.95,inflexible
A3758_2,North,4.0,48.0,flexible
A3758_3,North,4.0,48.05,flexible
A3758_4,North,2.0,48.1,flexible
A3758_5,North,2.0,48.15,flexible
A3758_6,North,2.0,48.2,flexible
A3758_7,North,2.0,48.6,flexible
A3759_0,North,8.0,32.5,inflexible
A3759_1,North,2.0,32.55,inflexible
A3759_2,North,3.0,32.6,inflexible
A3759_3,North,4.0,32.65,inflexible
