id,node,capacity (MW),offer ($/MW)
A3804_0,North,10.0,17.39
A3804_1,North,5.0,17.61
A3804_2,North,5.0,18.03
A3804_3,North,5.0,18.52
A3804_4,North,1.0,42.49
A3804_5,North,4.0,42.82
A3805_0,North,15.0,29.87
A3805_1,North,5.0,29.88
A3805_2,North,5.0,33.2
A3805_3,North,5.0,34.91
A3805_4,North,5.0,37.58
A3805_5,North,5.0,38.31
A3805_6,North,5.0,38.55
A3806_0,North,15.0,29.87
A3806_1,North,5.0,29.88
A3806_2,North,5.0,33.2
A3806_3,North,5.0,34.91
A3806_4,North,5.0,37.58
A3806_5,North,5.0,38.31
A3806_6,North,5.0,38.55
A3822_0,North,0.1,15.05
A3822_1,North,38.9,15.33
A3822_2,North,16.0,15.46
A3822_3,North,18.0,15.59
A3822_4,North,17.0,15.71
A3822_5,North,17.0,15.84
A3822_6,North,18.0,15.96
A3822_7,North,17.0,16.09
A3822_8,North,18.0,16.23
A3826,Central,20.0,73.54
A3827,Central,20.0,73.54
A3828,Central,20.0,73.54
A3829,Central,24.0,69.37
A3830,Central,23.0,127.51
A3840_0,Central,1.0,19.18
A3840_1,Central,309.0,20.15
A3840_2,Central,5.0,20.72
A3840_3,Central,1.0,24.0
A3840_4,Central,54.0,25.0
A3840_5,Central,25.0,26.0
A3840_6,Central,5.0,27.0
A3840_7,Central,30.0,28.0
A3840_8,Central,20.0,29.0
A3848_0,Central,1.0,0.01
A3848_1,Central,1.0,0.02
A3848_2,Central,2.0,0.04
A3848_3,Central,1.0,0.05
A3848_4,Central,1.0,0.06
A3848_5,Central,1.0,0.07
A3848_6,Central,1.0,0.08
A3848_7,Central,1.0,0.09
A3848_8,Central,1.0,0.1
A3849_0,Central,1.0,0.01
A3849_1,Central,2.0,0.03
A3849_2,Central,3.0,0.06
A3849_3,Central,1.0,0.07
A3849_4,Central,1.0,0.08
A3849_5,Central,1.0,0.09
A3849_6,Central,1.0,0.1
A3849_7,Central,1.0,0.11
A3849_8,Central,1.0,0.12
A3854_0,Central,1.0,18.48
A3854_1,Central,119.0,19.15
A3854_2,Central,5.0,19.45
A3854_3,Central,55.0,19.77
A3854_4,Central,20.0,20.12
A3854_5,Central,60.0,20.48
A3854_6,Central,30.0,20.77
A3854_7,Central,15.0,20.91
A3854_8,Central,50.0,21.21
A3855_0,Central,1.0,18.11
A3855_1,Central,119.0,18.95
A3855_2,Central,5.0,19.29
A3855_3,Central,55.0,19.63
A3855_4,Central,20.0,19.98
A3855_5,Central,60.0,20.32
A3855_6,Central,30.0,20.59
A3855_7,Central,20.0,20.76
A3855_8,Central,45.0,20.98
A3864,North,120.0,13.82
A3865,North,120.0,15.17
A3867_0,North,5.7,5.24
A3867_1,North,34.3,103.35
A3868,North,40.0,56.31
A3876,North,70.0,85.0
A3877,North,70.0,85.0
A3878,North,70.0,85.0
A3879,North,70.0,82.44
A3908,North,30.0,75.17
A3909,North,100.0,102.05
A3910,North,90.0,97.82
A3911,North,36.8,0.0
A3916,North,999.0,20.0
A3924,North,80.0,16.39
A3925,North,80.0,20.56
A3926,North,80.0,19.61
A3927,North,80.0,17.36
A3928,North,80.0,17.43
A3929,North,80.0,18.32
A3936,North,540.0,19.52
A3938,North,999.0,0.0
A3939,North,10.0,0.01
A3942,North,40.0,53.0
A3943,North,680.0,0.0
A3946,North,590.0,0.0
A3948,North,30.0,15.27
A3957,North,700.0,8.73
A3958,North,710.0,19.34
A3959,North,999.0,0.0
A3969,North,80.0,22.59
A3970,North,90.0,23.61
A3974,North,80.0,90.61
A3975,North,30.0,22.7
A3976,North,30.0,22.7
A3983,North,9.2,-35.08
A3986,North,10.5,0.0
A3990,Central,12.5,106.07
A3991_0,North,230.0,10.0
A3991_1,North,0.09999999999999432,99.0
A3995_0,North,28.0,23.93
A3995_1,North,3.0,23.97
A3995_2,North,3.0,24.0
A3995_3,North,9.0,24.11
A3995_4,North,2.0,24.13
A3995_5,North,1.0,24.15
A3995_6,North,2.0,24.17
A3995_7,North,4.0,24.22
A3996_0,North,38.0,24.48
A3996_1,North,4.0,24.53
A3996_2,North,4.0,24.59
A3996_3,North,17.0,24.82
A3996_4,North,2.0,24.85
A3996_5,North,2.0,24.87
A3996_6,North,3.0,24.91
A3996_7,North,3.0,24.95
A3997_0,North,6.0,155.24
A3997_1,North,3.0,162.99
A3997_2,North,3.0,170.74
A3997_3,North,3.0,178.49
A3997_4,North,3.0,186.24
A3997_5,North,3.0,193.99
A3997_6,North,3.0,201.74
A3997_7,North,2.0,206.91
A3998_0,North,6.0,162.22
A3998_1,North,3.0,167.12
A3998_2,North,3.0,172.02
A3998_3,North,3.0,176.92
A3998_4,North,3.0,181.82
A3998_5,North,3.0,186.71
A3998_6,North,3.0,191.61
A3998_7,North,2.0,194.88
A4001_0,North,15.0,10.54
A4001_1,North,4.0,10.58
A4001_2,North,4.0,10.61
A4001_3,North,4.0,10.65
A4001_4,North,4.0,10.69
A4001_5,North,4.0,10.72
A4001_6,North,4.0,10.76
A4001_7,North,5.0,10.8
A4001_8,North,5.0,10.85
A4010_0,Central,180.0,16.95
A4010_1,Central,10.0,17.12
A4010_2,Central,10.0,17.55
A4010_3,Central,10.0,18.1
A4011_0,Central,267.7,16.83
A4011_1,Central,17.69999999999999,16.86
A4011_2,Central,17.700000000000045,17.06
A4011_3,Central,17.69999999999999,17.37
