Region,Unit Code,Date/Time Beginning (EST),Date/Time End (EST),Economic Max,Economic Min,Emergency Max,Emergency Min,Economic Flag,Emergency Flag,Must Run Flag,Unit Available Flag,Self Scheduled MW,Target MW Reduction,MW,Curtailment Offer Price,Price1,MW1,Price2,MW2,Price3,MW3,Price4,MW4,Price5,MW5,Price6,MW6,Price7,MW7,Price8,MW8,Price9,MW9,Price10,MW10,Slope
Central,A3714,10/07/2020 00:00:00,10/07/2020 01:00:00,20,7,22.6,4,0,0,0,0,0,,0,,31.95,4,50.57,22,,,,,,,,,,,,,,,,,1
Central,A3715,10/07/2020 00:00:00,10/07/2020 01:00:00,20,5,22.6,3,0,0,0,0,0,,0,,31.95,4,50.57,22,,,,,,,,,,,,,,,,,1
North,A3721,10/07/2020 00:00:00,10/07/2020 01:00:00,230,100,247.4,94,1,0,0,1,0,,0,,15.62,0,17.78,100,18.12,116,18.46,132,18.8,148,19.15,164,19.49,180,19.83,196,20.17,212,20.52,228,1
Central,A3726,10/07/2020 00:00:00,10/07/2020 01:00:00,33.5,30,33.6,30,1,0,0,1,0,,0,,16,33.5,75,33.6,,,,,,,,,,,,,,,,,0
Central,A3727,10/07/2020 00:00:00,10/07/2020 01:00:00,33.5,30,33.6,30,1,0,0,1,0,,0,,38,33.5,75,33.6,,,,,,,,,,,,,,,,,0
Central,A3728,10/07/2020 00:00:00,10/07/2020 01:00:00,33.5,30,33.6,30,1,0,0,1,0,,0,,38,33.5,75,33.6,,,,,,,,,,,,,,,,,0
Central,A3729,10/07/2020 00:00:00,10/07/2020 01:00:00,33.5,30,33.6,30,1,0,0,1,0,,0,,38,33.5,75,33.6,,,,,,,,,,,,,,,,,0
North,A3730,10/07/2020 00:00:00,10/07/2020 01:00:00,41,13,41,13,1,0,0,1,0,,0,,90.14,0,99.71,13,101.65,15.6,103.58,18.2,105.51,20.9,107.44,23.5,109.37,26.1,111.3,28.8,113.24,31.4,115.16,34,1
North,A3731,10/07/2020 00:00:00,10/07/2020 01:00:00,41,13,41,13,1,0,0,1,0,,0,,88.78,0,98.05,13,99.92,15.6,101.79,18.2,103.66,20.9,105.53,23.5,107.4,26.1,109.27,28.8,111.14,31.4,113.01,34,1
Central,A3736,10/07/2020 00:00:00,10/07/2020 01:00:00,80,50,80,50,1,0,0,1,0,,0,,41.62,0,43.05,50,43.27,58,43.48,65,43.7,73,43.91,80,,,,,,,,,1
Central,A3737,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,41.62,0,43.05,50,43.27,58,43.48,65,43.7,73,43.91,80,,,,,,,,,1
Central,A3738,10/07/2020 00:00:00,10/07/2020 01:00:00,80,50,80,50,1,0,0,1,0,,0,,41.62,0,43.05,50,43.27,58,43.48,65,43.7,73,43.91,80,,,,,,,,,1
Central,A3739,10/07/2020 00:00:00,10/07/2020 01:00:00,80,50,80,50,1,0,0,1,0,,0,,41.62,0,43.05,50,43.27,58,43.48,65,43.7,73,43.91,80,,,,,,,,,1
Central,A3740,10/07/2020 00:00:00,10/07/2020 01:00:00,80,50,80,50,1,0,0,1,0,,0,,41.62,0,43.05,50,43.27,58,43.48,65,43.7,73,43.91,80,,,,,,,,,1
Central,A3741,10/07/2020 00:00:00,10/07/2020 01:00:00,0,0,0,0,0,0,0,0,0,,0,,41.62,0,43.05,50,43.27,58,43.48,65,43.7,73,43.91,80,,,,,,,,,1
